PCA1,PCA2,Cluster
-2.166392298544245,-0.511276291778793,0
-2.1947606206357864,2.293111827400948,1
-2.207040037690479,1.4605895214452378,1
-1.2090781934390202,0.7822648897532933,1
-0.19470917321696968,-0.02981153687608451,1
0.82468291424291,-0.9329376161477294,2
-2.2090074989570874,3.2077916649059044,1
-0.1935110393188666,1.202792553047202,1
-2.168881476091149,-1.2973122854755692,0
-2.16759899016241,-1.3029616223825613,0
-0.1944427205004593,1.173510706340299,1
0.7797447052456841,1.882733180409696,2
-0.1670291951008731,0.9623675293012974,1
1.7990121350722674,0.8661898520572966,2
-0.21754688537981148,2.5098852551821644,1
-0.15597378862781897,-1.0199311665297062,1
2.7987969118108356,0.06582121357891757,2
-1.2039546262238217,1.8906791364303261,1
-0.16880307264922,-1.6997984694947255,0
-2.1848066694343715,2.0434153482082547,1
-2.181751653779599,-1.3149099306193355,1
1.8063402928768637,-0.03683220329339876,2
-1.1861917937051865,0.7264850266390841,1
-2.1909560114602145,-1.4407432898361257,1
2.817005604655836,-1.142108386568327,2
-0.19968159366041194,0.5313362256179097,1
2.808531201987799,2.9556246748696764,0
1.8107023231270185,2.326020968300796,2
-0.2024812030139831,0.40040360963640387,1
0.8129160781186675,1.6816918579029871,2
2.82459635149552,-0.6060830775493389,2
-0.1903108468977488,-1.317524851752629,1
-1.2106032182514062,1.2170708671728763,1
-1.202397226688665,1.6802432941661403,1
-2.1817807375781344,-1.9612126651463526,1
0.834465053222587,0.12499378935220484,2
0.8283482418416344,-1.1610100076368157,2
2.7951188798000746,0.5948960996376504,2
-0.225845165615844,3.0129670381749976,1
1.8457091316767706,-1.5216650202745683,2
0.8136562088114991,0.21780636691191635,2
-2.1764619779753795,-0.7214296338649766,1
0.8229055590623622,0.06061871752484094,2
-1.1629758341782115,-1.5846974975212271,1
0.810705848583007,-0.6816321368796432,2
0.7960155050661544,-0.133623713438904,2
0.7961780758654662,0.264466751743484,2
-2.1846431678887535,-0.5468580725254533,1
0.7981519037602669,-0.01960306171495141,2
1.8137922042079637,-0.7819250947690646,2
0.7836171697548773,2.6553064250851945,2
-0.2015579274263264,0.696799225207406,1
1.823580359894582,1.8493473687315376,2
0.8369046615424329,-0.9623734013190022,0
-2.1932849402659795,-0.8420961970359455,1
-0.1677613031449776,-0.758188904822614,1
-0.1857587640434406,-1.9581322745833893,1
-2.1886083038874613,-0.9205122327973827,1
-2.173899431940567,-1.405556870049883,1
-0.20781307076852396,2.8530594417017228,1
-0.1670629930031815,-1.9728620752571262,1
1.7970135508427858,-0.3507401113828199,2
0.8341458689640162,-1.047027731568757,2
2.797956961639095,0.35911932060418295,2
1.8084472269693537,0.00487123447914839,2
-2.190322625916341,-0.7642835031708002,1
2.8024599609567376,-1.1682830973171723,2
-1.2072722777116651,0.8931107164927248,1
1.7988620376005429,0.08104432574437137,2
-2.1661858232090525,-1.2052565470512553,1
-0.18818495204402685,-1.5888713316045815,1
2.8102705480789267,0.10190751295774136,2
0.8154481195591732,0.08870980105797277,2
-1.1891844481014147,-0.16476199215834653,1
0.8045496122449354,-1.0375577461363057,2
1.806334765783872,1.0094124726227305,2
-0.1917891146469073,0.8309657846834648,1
-2.1663694672878577,-0.5958658068651599,1
-0.1874122736363648,0.27443128291837704,1
-2.202767545183496,0.8152751816184844,1
2.804249955920373,-0.2862437728652112,2
-2.1793466763698826,-0.7321950655958149,1
0.8045679315949776,-1.1758377798395814,2
-1.1794344964507757,0.24281664839864447,1
-2.1655331133346944,-0.1564736079888569,1
-0.19347926708718366,0.9698004312056994,1
-0.17648806067684752,1.9319407394914365,1
0.8246322413156748,-0.804439732096949,0
-0.1990859616594094,0.6901726219908899,1
1.7953383157869545,0.7526983971991696,2
0.8100693252048545,-1.2318166278223817,2
-0.18608420638891965,-0.44718425798341,1
1.8228144549119762,1.5553125789848,2
-2.174877856760513,-1.5007376745850416,1
-0.16836187622004362,0.9444049278898374,0
1.8186044936562662,-2.051347958196672,2
2.8252222577059194,-0.18051062471195523,2
-2.1960894827321917,-0.20462298079996044,1
0.8240147178898272,0.4653022065636505,2
1.7995796699813411,2.1832074502617793,2
-0.17344455136451398,0.22067818062534839,1
-2.1875663944529755,0.441794084516939,1
-2.1778354300994853,-0.3348704525917836,0
1.8080839876052845,1.9648573938821778,2
-0.1889085308814642,0.1979149439315726,1
-1.1842300208700394,0.5315485023994473,1
1.8266131613773386,-0.28781873441498074,2
0.8321517018518092,-0.7851590798192312,2
1.8151133819361829,0.3710083850315269,2
2.8341239943428733,-2.207184327710868,2
-2.2142036703582724,2.2022206506963817,1
-2.1850195439897955,-1.3996535312212688,1
-2.1961160701205182,0.007764484724989806,1
1.8201028978091967,-0.2798679502316108,2
-2.1893485364885623,-0.5875019466878126,1
0.8289318084727304,-2.0541102385683896,2
2.804894531412909,-1.2610387564650631,2
-2.201358080082103,1.3554384934463668,1
-2.1767798049454083,-2.797196742687403,1
-2.2002203675496936,1.956578982949969,1
2.7858258227506716,1.5153994181273553,2
1.8112539748277432,-0.11163959180378047,2
0.81994170756407,-1.5188808408287668,2
0.8252042860249107,0.5882774921651519,0
-2.193943711139254,0.8352039758957601,1
1.8160800638621235,1.4493213372694882,0
-2.206504444536758,0.14090602770873328,1
0.8306465335123305,-1.5798499811966973,0
-2.2009251441997817,1.2188092726891573,1
2.8264200519971365,-0.9090925398668455,0
0.8084322424981067,-0.44705693666095425,2
-2.1898385447810336,0.5777124802325564,0
0.8079012151476519,-0.17218610859249028,2
-0.16173029610541256,0.2511628491403095,1
-1.2046852054197625,0.894600174784423,1
0.8370491178316799,0.694218330748603,2
2.7871968554796074,1.3363187650577277,2
0.807068916569003,0.5277838499209002,0
-2.196201342909688,0.0502224078243616,1
2.7827832779450934,1.9436365981866537,2
1.8260771826499158,0.46168294263057374,2
2.8209919563870858,0.745784585870374,0
